Country,Capital,Coordinates
Northern Mariana Islands,Saipan,"[15.2, 145.75]"
Belgium,Brussels,"[50.83333333, 4.0]"
Timor-Leste,Dili,"[-8.83333333, 125.91666666]"
Mayotte,Mamoudzou,"[-12.83333333, 45.16666666]"
Réunion,Saint-Denis,"[-21.15, 55.5]"
Micronesia,Palikir,"[6.91666666, 158.25]"
Mauritania,Nouakchott,"[20.0, -12.0]"
Congo,Brazzaville,"[-1.0, 15.0]"
Hungary,Budapest,"[47.0, 20.0]"
Vanuatu,Port Vila,"[-16.0, 167.0]"
Argentina,Buenos Aires,"[-34.0, -64.0]"
Mauritius,Port Louis,"[-20.28333333, 57.55]"
Peru,Lima,"[-10.0, -76.0]"
India,Diego Garcia,"[-6.0, 71.5]"
Switzerland,Bern,"[47.0, 8.0]"
Israel,Jerusalem,"[31.5, 34.75]"
Japan,Tokyo,"[36.0, 138.0]"
Bahrain,Manama,"[26.0, 50.55]"
Papua New Guinea,Port Moresby,"[-6.0, 147.0]"
Eswatini,Lobamba,"[-26.5, 31.5]"
Dominican Republic,Santo Domingo,"[19.0, -70.66666666]"
Bolivia,Sucre,"[-17.0, -65.0]"
Martinique,Fort-de-France,"[14.666667, -61.0]"
Malaysia,Kuala Lumpur,"[2.5, 112.5]"
Burkina Faso,Ouagadougou,"[13.0, -2.0]"
Norway,Oslo,"[62.0, 10.0]"
Zimbabwe,Harare,"[-20.0, 30.0]"
Tonga,Nuku'alofa,"[-20.0, -175.0]"
Philippines,Manila,"[13.0, 122.0]"
Antigua and Barbuda,Saint John's,"[17.05, -61.8]"
Macau,,"[22.16666666, 113.55]"
South Sudan,Juba,"[7.0, 30.0]"
Andorra,Andorra la Vella,"[42.5, 1.5]"
Suriname,Paramaribo,"[4.0, -56.0]"
Cuba,Havana,"[21.5, -80.0]"
Laos,Vientiane,"[18.0, 105.0]"
Sierra Leone,Freetown,"[8.5, -11.5]"
Romania,Bucharest,"[46.0, 25.0]"
Colombia,Bogotá,"[4.0, -72.0]"
Curacao,Willemstad,"[12.116667, -68.933333]"
Belarus,Minsk,"[53.0, 28.0]"
Chile,Santiago,"[-30.0, -71.0]"
Fiji,Suva,"[-18.0, 175.0]"
Sint Maarten,Philipsburg,"[18.033333, -63.05]"
U.S. Virgin Islands,Charlotte Amalie,"[18.34, -64.93]"
Faroe Islands,Tórshavn,"[62.0, -7.0]"
Brazil,Brasília,"[-10.0, -55.0]"
Armenia,Yerevan,"[40.0, 45.0]"
Russia,Moscow,"[60.0, 100.0]"
Nigeria,Abuja,"[10.0, 8.0]"
Uganda,Kampala,"[1.0, 32.0]"
Somalia,Mogadishu,"[10.0, 49.0]"
Ethiopia,Addis Ababa,"[8.0, 38.0]"
Paraguay,Asunción,"[-23.0, -58.0]"
Ellan Vannin,Douglas,"[54.25, -4.5]"
Mongolia,Ulan Bator,"[46.0, 105.0]"
Saudi Arabia,Riyadh,"[25.0, 45.0]"
Sudan,Juba,"[7.0, 30.0]"
Guinea-Bissau,Bissau,"[12.0, -15.0]"
Grenada,St. George's,"[12.11666666, -61.66666666]"
Mali,Bamako,"[17.0, -4.0]"
Montenegro,Podgorica,"[42.5, 19.3]"
Turks and Caicos Islands,Cockburn Town,"[21.75, -71.58333333]"
Kosovo,Pristina,"[42.666667, 21.166667]"
Cambodia,Phnom Penh,"[13.0, 105.0]"
Bhutan,Thimphu,"[27.5, 90.5]"
Liberia,Monrovia,"[6.5, -9.5]"
Bosnia and Herzegovina,Sarajevo,"[44.0, 18.0]"
Lithuania,Vilnius,"[56.0, 24.0]"
